generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
180,2024-06-29 21:55:43,2024-06-29 21:57:42,119,0.17646092591746898,128,23040
181,2024-06-29 21:57:42,2024-06-29 21:59:40,118,0.17633644275004964,128,23168
182,2024-06-29 21:59:40,2024-06-29 22:01:37,117,0.1764223721676427,128,23296
183,2024-06-29 22:01:37,2024-06-29 22:03:34,117,0.17649722791697267,128,23424
184,2024-06-29 22:03:34,2024-06-29 22:05:31,117,0.1764670377620099,128,23552
185,2024-06-29 22:05:31,2024-06-29 22:07:28,117,0.17645956027265505,128,23680
186,2024-06-29 22:07:28,2024-06-29 22:09:25,117,0.17646457442166255,128,23808
187,2024-06-29 22:09:25,2024-06-29 22:11:22,117,0.17638319227196025,128,23936
188,2024-06-29 22:11:22,2024-06-29 22:13:19,117,0.17652492521215882,128,24064
189,2024-06-29 22:13:19,2024-06-29 22:15:17,118,0.176616241843871,128,24192
190,2024-06-29 22:15:17,2024-06-29 22:17:14,117,0.17653710674416875,128,24320
191,2024-06-29 22:17:14,2024-06-29 22:19:13,119,0.17667696926352355,128,24448
192,2024-06-29 22:19:13,2024-06-29 22:21:09,116,0.17669849075652605,128,24576
193,2024-06-29 22:21:09,2024-06-29 22:23:06,117,0.1767827336646154,128,24704
194,2024-06-29 22:23:06,2024-06-29 22:25:04,118,0.17678656519925556,128,24832
195,2024-06-29 22:25:04,2024-06-29 22:27:01,117,0.1767998765876924,128,24960
196,2024-06-29 22:27:01,2024-06-29 22:28:58,117,0.1769135250101241,128,25088
197,2024-06-29 22:28:58,2024-06-29 22:30:55,117,0.1768543483530273,128,25216
198,2024-06-29 22:30:55,2024-06-29 22:32:51,116,0.1768320839769231,128,25344
199,2024-06-29 22:32:51,2024-06-29 22:34:50,119,0.17683555357312655,128,25472
200,2024-06-29 22:34:50,2024-06-29 22:36:49,119,0.17684341677364765,128,25600
201,2024-06-29 22:36:49,2024-06-29 22:38:46,117,0.17686706326920604,128,25728
202,2024-06-29 22:38:46,2024-06-29 22:40:49,123,0.17688841128957822,128,25856
203,2024-06-29 22:40:49,2024-06-29 22:42:46,117,0.17690600185017372,128,25984
204,2024-06-29 22:42:46,2024-06-29 22:44:44,118,0.17684908411640202,128,26112
205,2024-06-29 22:44:44,2024-06-29 22:46:41,117,0.17687196573558311,128,26240
